Vehicle ID,State,Repair ,Reason,YEAR ,Make,Body Type 
15241383936,AL,Battery replacement,Dead battery,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
15241383936,AL,Dent Repair  Left Fender,Collision,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
60965535744,AL,Battery replacement,Dead battery,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
60965535744,AL,Tire repair,Flat- reparable,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
60965535744,AL,Tire replacement,Flat- hole not reparable,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.37E+11,AL,Battery replacement,Dead battery,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.37E+11,AL,Windshield replacement,Crack,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.44E+11,AL,Dent Repair Rear,Collision,2019,RAM ,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
3.81E+11,AR,Windshield replacement,Crack,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
5.49E+11,AR,Tire repair,Flat- reparable,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
5.49E+11,AR,Windshield replacement,Crack,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
7.47E+11,AR,Battery replacement,Dead battery,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
7.47E+11,AR,Dent Repair  Left Fender,Collision,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
7.47E+11,AR,Tire repair,Flat- reparable,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
7.47E+11,AR,Tire replacement,Flat- hole not reparable,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
9.75E+11,AR,Tire replacement,Flat- hole not reparable,2018,Chevrolet Silverado ,"1500 2WD Double Cab 143.5"" LT w/1LT"
1.23E+12,AR,Tire replacement,Flat- hole not reparable,2018,RAM ,"1500 SLT 4X2 Quad Cab 6'4"" Box"
1.52E+12,AR,Tire replacement,Flat- hole not reparable,2019,RAM ,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
1.84E+12,AZ,Battery replacement,Dead battery,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.84E+12,AZ,Tire repair,Flat- reparable,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.84E+12,AZ,Tire repair,Flat- reparable,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.84E+12,AZ,Windshield replacement,Crack,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
2.19E+12,AZ,Tire repair,Flat- reparable,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
2.19E+12,AZ,Tire repair,Flat- reparable,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
2.19E+12,AZ,Tire replacement,Flat- hole not reparable,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
2.58E+12,AZ,Battery replacement,Dead battery,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.58E+12,AZ,Tire repair,Flat- reparable,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.58E+12,AZ,Tire repair,Flat- reparable,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.58E+12,AZ,Tire replacement,Flat- hole not reparable,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.99E+12,AZ,Tire repair,Flat- reparable,2018,Chevrolet Silverado ,"1500 2WD Double Cab 143.5"" LT w/1LT"
2.99E+12,AZ,Tire replacement,Flat- hole not reparable,2018,Chevrolet Silverado ,"1500 2WD Double Cab 143.5"" LT w/1LT"
3.43E+12,AZ,Dent Repair  Left Fender,Collision,2018,RAM ,"1500 SLT 4X2 Quad Cab 6'4"" Box"
3.43E+12,AZ,Tire repair,Flat- reparable,2018,RAM ,"1500 SLT 4X2 Quad Cab 6'4"" Box"
3.43E+12,AZ,Tire replacement,Flat- hole not reparable,2018,RAM ,"1500 SLT 4X2 Quad Cab 6'4"" Box"
3.90E+12,AZ,Tire repair,Flat- reparable,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT
3.90E+12,AZ,Tire replacement,Flat- hole not reparable,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT
4.40E+12,AZ,Tire repair,Flat- reparable,2019,RAM ,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
4.94E+12,CA,Windshield replacement,Crack,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
5.50E+12,CA,Windshield replacement,Crack,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
6.10E+12,CA,Fender replacement ,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
6.10E+12,CA,Windshield replacement,Crack,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
6.72E+12,CA,Dent Repair  Left Fender,Collision,2018,Chevrolet Silverado ,"1500 2WD Double Cab 143.5"" LT w/1LT"
7.38E+12,CA,Wheel Arch,Rust,2018,RAM ,"1500 SLT 4X2 Quad Cab 6'4"" Box"
8.06E+12,CA,Dent Repair Rear,Collision,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT
8.78E+12,CA,Dent Repair  Left Fender,Collision,2019,RAM ,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
9.53E+12,CO,Windshield replacement,Crack,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.03E+13,CO,Windshield replacement,Crack,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.11E+13,CO,Battery replacement,Dead battery,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.11E+13,AZ,Tire replacement,Flat- hole not reparable,2019,RAM ,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
1.11E+13,CO,Windshield replacement,Crack,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.19E+13,CO,Windshield replacement,Crack,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.28E+13,CO,Battery replacement,Dead battery,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.37E+13,CO,Tire repair,Flat- reparable,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.46E+13,CO,Tire repair,Flat- reparable,2018,RAM ,"1500 SLT 4X2 Quad Cab 6'4"" Box"
1.56E+13,CO,Dent Repair  Left Fender,Collision,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT
1.56E+13,CO,Windshield replacement,Crack,2018,RAM ,"1500 SLT 4X2 Quad Cab 6'4"" Box"
1.66E+13,CT,Brake line replacement,Corrosion,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.66E+13,CT,Fule tank,Hole,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.66E+13,CT,Wheel Arch,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.76E+13,CT,Brake line replacement,Corrosion,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.76E+13,CT,Cab corner panel,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.87E+13,CT,Brake line replacement,Corrosion,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.87E+13,CT,Fender replacement ,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.98E+13,CT,Brake line replacement,Corrosion,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.98E+13,CT,Shocks,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.98E+13,CT,Struts,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
2.09E+13,CT,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.09E+13,CT,Fule tank,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.20E+13,CT,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.20E+13,CT,Rocker Panel,Rust,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.32E+13,CT,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.44E+13,CT,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.56E+13,CT,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.69E+13,CT,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.82E+13,CT,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.95E+13,CT,Dent Repair Rear,Collision,2018,RAM ,"1500 SLT 4X2 Quad Cab 6'4"" Box"
3.09E+13,CT,Fule tank,Hole,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT
3.23E+13,CT,Brake line replacement,Corrosion,2019,RAM ,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
3.23E+13,CT,Tire repair,Flat- reparable,2019,RAM ,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
3.37E+13,DC,Brake line replacement,Corrosion,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
3.37E+13,DC,Fule tank,Corrosion,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
3.37E+13,DC,Shocks,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
3.37E+13,DC,Struts,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
3.37E+13,DC,Tire replacement,Flat- hole not reparable,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
3.51E+13,DC,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
3.51E+13,DC,Cab corner panel,Rust,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
3.51E+13,DC,Fule tank,Hole,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
3.66E+13,DC,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
3.66E+13,DC,Fender replacement ,Rust,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
3.66E+13,DC,Rocker Panel,Rust,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
3.66E+13,DC,Wheel Arch,Rust,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
3.81E+13,DC,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
3.81E+13,DC,Dent Repair Rear,Collision,2018,Chevrolet Silverado ,"1500 2WD Double Cab 143.5"" LT w/1LT"
3.96E+13,DC,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
4.12E+13,DC,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
4.28E+13,DC,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
4.44E+13,DC,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
4.61E+13,DC,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
4.78E+13,DC,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
4.95E+13,DC,Wheel Arch,Rust,2018,RAM ,"1500 SLT 4X2 Quad Cab 6'4"" Box"
5.13E+13,DC,Tire replacement,Flat- hole not reparable,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT
5.31E+13,DE,Brake line replacement,Corrosion,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
5.31E+13,DE,Dent Repair  Left Fender,Collision,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
5.49E+13,DE,Brake line replacement,Corrosion,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
5.49E+13,DE,Rocker Panel,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
5.67E+13,DE,Brake line replacement,Corrosion,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
5.67E+13,DE,Fender replacement ,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
5.67E+13,DE,Shocks,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
5.67E+13,DE,Struts,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
5.67E+13,DE,Wheel Arch,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
5.86E+13,DE,Cab corner panel,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
5.86E+13,DE,Dent Repair  Left Fender,Collision,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
6.05E+13,DE,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
6.05E+13,DE,Fule tank,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
6.24E+13,DE,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
6.24E+13,DE,Fule tank,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
6.44E+13,DE,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
6.44E+13,DE,Fule tank,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
6.64E+13,DE,Fule tank,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
6.84E+13,DE,Fule tank,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
7.05E+13,DE,Fule tank,Hole,2018,RAM ,"1500 SLT 4X2 Quad Cab 6'4"" Box"
7.26E+13,DE,Tire repair,Flat- reparable,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT
7.47E+13,FL,Battery replacement,Dead battery,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
7.68E+13,FL,Fender replacement ,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
7.68E+13,FL,Tire repair,Flat- reparable,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
7.90E+13,FL,Battery replacement,Dead battery,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
7.90E+13,FL,Tire repair,Flat- reparable,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
7.90E+13,FL,Tire replacement,Flat- hole not reparable,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
8.12E+13,FL,Tire repair,Flat- reparable,2018,Chevrolet Silverado ,"1500 2WD Double Cab 143.5"" LT w/1LT"
8.12E+13,FL,Tire replacement,Flat- hole not reparable,2018,Chevrolet Silverado ,"1500 2WD Double Cab 143.5"" LT w/1LT"
8.35E+13,FL,Dent Repair  Left Fender,Collision,2018,RAM ,"1500 SLT 4X2 Quad Cab 6'4"" Box"
8.35E+13,FL,Tire repair,Flat- reparable,2018,RAM ,"1500 SLT 4X2 Quad Cab 6'4"" Box"
8.35E+13,FL,Tire replacement,Flat- hole not reparable,2018,RAM ,"1500 SLT 4X2 Quad Cab 6'4"" Box"
8.35E+13,FL,Wheel Arch,Rust,2018,RAM ,"1500 SLT 4X2 Quad Cab 6'4"" Box"
8.57E+13,FL,Tire repair,Flat- reparable,2019,RAM ,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
8.80E+13,GA,Battery replacement,Dead battery,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
9.04E+13,GA,Windshield replacement,Crack,2018,Chevrolet Silverado ,"1500 2WD Double Cab 143.5"" LT w/1LT"
9.27E+13,GA,Tire replacement,Flat- hole not reparable,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT
9.51E+13,GA,Tire replacement,Flat- hole not reparable,2019,RAM ,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
9.51E+13,GA,Windshield replacement,Crack,2019,RAM ,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
9.75E+13,IA,Cab corner panel,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
9.75E+13,IA,Fender replacement ,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
9.75E+13,IA,Shocks,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
9.75E+13,IA,Struts,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
9.75E+13,IA,Tire repair,Flat- reparable,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.00E+14,IA,Struts,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.00E+14,IA,Wheel Arch,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.02E+14,IA,Battery replacement,Dead battery,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.02E+14,IA,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.02E+14,IA,Fule tank,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.05E+14,IA,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.05E+14,IA,Cab corner panel,Rust,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.05E+14,IA,Fender replacement ,Rust,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.05E+14,IA,Fule tank,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.05E+14,IA,Rocker Panel,Rust,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.08E+14,IA,Fule tank,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.08E+14,IA,Rocker Panel,Rust,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.08E+14,IA,Wheel Arch,Rust,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.10E+14,IA,Fule tank,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.13E+14,IA,Fule tank,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.13E+14,IA,Transmission,slips in and out of gear,2018,RAM ,"1500 SLT 4X2 Quad Cab 6'4"" Box"
1.15E+14,IA,Fule tank,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.18E+14,IA,Fule tank,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.18E+14,IA,Fule tank,Hole,2019,RAM ,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
1.18E+14,IA,Tire replacement,Flat- hole not reparable,2019,RAM ,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
1.21E+14,ID,Battery replacement,Dead battery,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.21E+14,ID,Windshield replacement,Crack,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.23E+14,IA,Fule tank,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.23E+14,ID,Tire repair,Flat- reparable,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.26E+14,IA,Fule tank,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.29E+14,ID,Dent Repair Rear,Collision,2019,RAM ,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
1.29E+14,IA,Fule tank,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.29E+14,ID,Tire replacement,Flat- hole not reparable,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT
1.29E+14,ID,Windshield replacement,Crack,2019,Chevrolet Silverado ,1500 LD 4WD Double Cab LT w/1LT
1.32E+14,IL,Cab corner panel,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.32E+14,IL,Fule tank,Corrosion,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.32E+14,IL,Fule tank,Hole,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.32E+14,IL,Shocks,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.32E+14,IL,Struts,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.32E+14,IL,Wheel Arch,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.35E+14,IL,Fender replacement ,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.35E+14,IL,Fule tank,Corrosion,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.35E+14,IL,Rocker Panel,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.35E+14,IL,Struts,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.35E+14,IL,Struts,Rust,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.38E+14,IL,Fule tank,Corrosion,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.40E+14,IL,Fule tank,Corrosion,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.43E+14,IL,Fule tank,Corrosion,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.46E+14,IL,Fule tank,Corrosion,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.49E+14,IL,Fule tank,Corrosion,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.52E+14,IL,Fule tank,Corrosion,2016,RAM ,"1500 4WD Quad Cab 140.5"" SLT"
1.55E+14,IL,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.55E+14,IL,Cab corner panel,Rust,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.55E+14,IL,Fule tank,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.55E+14,IL,Rocker Panel,Rust,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.59E+14,IL,Brake line replacement,Corrosion,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.59E+14,IL,Cab corner panel,Rust,2017,Chevrolet Silverado ,"1500 4WD Double Cab 143.5"" LT w/1LT"
